karnataka_result.csv,bihar_result.csv,telangana_result.csv,chhattisgarh_result.csv,tripura_result.csv,jammu_result.csv,lakshadweep_result.csv,gujarat_result.csv,meghalaya_result.csv,a&n_result.csv,assam_result.csv,manipur_result.csv,himachal_result.csv,nagaland_result.csv,odisha_result.csv,daman_result.csv,mizoram_result.csv,jharkhand_result.csv,west_bengal_result.csv,India_result.csv,uttar_pradesh_result.csv,uttarakhand_result.csv,dadar_result.csv,delhi_result.csv,arunachal_result.csv,punjab_result.csv,sikkim_result.csv,haryana_result.csv,goa_result.csv,chandigarh_result.csv,puducherry_result.csv,madhya_result.csv,andhra_result.csv,rajasthan_result.csv,tamil_nadu_result.csv
% ST Enrolment: Classes  I-VII9I8.5,% ST Enrolment: Cl4a6s.9ses  I-VIII,% OBC Enrolment: Primary Level,% ST Enrolment: Class6e2s. 4 I-VIII,% ST Enrolment: C41la.4sses  I-VIII,% ST Enrolment: Cla5s2s.e9s  I-VIII,% ST Enrolment: Classes  I-VII9I8.5,% ST Enrolment: Classes  I-VII9I6.9,% OBC Enrolment: Primary Le1v00e.l0,% ST Enrolment: Classes  I-VII9I 9.0,% ST Enrolment: C4l3a.s3ses  I-VIII,% ST Enrolment:3 C5.l3asses  I-VIII,% ST Enrolment: Classes  I-VI9II6.5,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% ST Enrolment: Classes  I-V9II3I .6,% ST Enrolment: Class5e9.s6  I-VIII,% ST Enrolment: Classes7  3I.-0VIII,% OBC Enrolment: Primary Level,% ST Enrolment: Classes  7I-9V.6III,% ST Enrolment: Classes  8I-0V.4III,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% ST Enrolment: Classes  I-VI1I0I 0.0,% ST Enrolme2n3t:. 7Classes  I-VIII,% OBC Enrolment: Primary Level,% ST Enrolment: C4la4s.7ses  I-VIII,% OBC Enrolment: Primary Level,% ST Enrolment: Classes  I-VI9II5.5,% ST Enrolment: Classes  I-VII9I 9.4,% ST Enrolment: Classes  I-VI9II8.8,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% ST Enrolment: Classes  I-V88II.I0,% ST Enrolment: Classes  I-VII9I7.2
% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Le1v00e.l0,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment: Primary Level,% OBC Enrolment: Primary Level
% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% Muslim Enrolment: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% Muslim Enrolm31e.3nt: Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% Muslim Enrolm32e.n6t: Primary Level,% Muslim Enrolment: Prim7a6r.y8 Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% Muslim Enrolment5: 1P.6rimary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% Muslim Enrolment: Prima80ry.4 Level,% Muslim Enrolment: Primary9 L3e.1vel,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% Muslim Enrolment: Primar8y8 L.5evel,% OBC Enrolment:U.Primary Level,% Muslim Enrolment: Primary9 L5.e2vel,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level,% Muslim Enrolment: Pr6im8.a3ry Level,% Muslim Enrolment: Primary 9L6e.v3el,% OBC Enrolment:U.Primary Level,% OBC Enrolment:U.Primary Level
% Muslim Enrolment: Primary9 L8e.0vel,% Muslim Enrolmen4t6: .P1 rimary Level,% Muslim Enrolment: U. Primary Level,% Muslim Enrolment: P60ri.m0 ary Level,% Muslim Enrolme4n4t:. 5Primary Level,% Muslim Enrolment:5 P4.r0imary Level,% Muslim Enrolment: Primary9 L8e.0vel,% Muslim Enrolment: Primary9 L8e.0vel,% Muslim E1n0.r7olment: U. Primary Level,% Muslim Enrolment: Primary L9e9v.3el,% Muslim Enrolm3e6n.5t: Primary Level,% Muslim Enrolm3e4n.5t: Primary Level,% Muslim Enrolment: Primary 9L4e.5vel,% Muslim Enro2lm9.e2nt: U. Primary Level,% Muslim Enrolment: U6. 7P.7rimary Level,% Muslim Enrolment: Primary9 L3e.7vel,% Muslim Enrolmen4t7: .P8rimary Level,% Muslim Enrolment: Prim73a.r9y Level,% Muslim En1ro9.lm5 ent: U. Primary Level,% Muslim Enrolment: Prim7a8ry.6 Level,% Muslim Enrolment: Prim7a5.r1y Level,% Muslim Enrolme4n5t:. 8U. Primary Level,% Muslim0. 0Enrolment: U. Primary Level,% Muslim Enrolment: Primary 1L0e0v.0el,% Muslim Enro2lm5.2ent: Primary Level,% Muslim Enrolment: U. P7r8im.1ary Level,% Muslim Enrolmen4t6: .P4 rimary Level,% Muslim Enrolment: U. Prim9a5ry.3 Level,% Muslim Enrolment: Primary 9L5e.v6el,% Muslim Enrolment: Primary 9L8e.v8el,% Muslim Enrolment: Primary L9e8v.6el,% Muslim Enr2o2lm.9ent: U. Primary Level,% Muslim Enrolment: U. Pr8im3.a8ry Level,% Muslim Enrolment: Primary8 9L.6evel,% Muslim Enrolment: Primary 9L7e.v0el
% Muslim Enrolment: U. Prima9r6y. 6Level,% Muslim Enrolme4n6t:. 5U. Primary Level,Ratio of Grade V to I,% Muslim Enrolme4n4t.:3 U. Primary Level,% Muslim En1r7o.l5ment: U. Primary Level,% Muslim Enrolm34e.n9t: U. Primary Level,% Muslim Enrolment: U. Prima9r6y. 6Level,% Muslim Enrolment: U. Prim9a2r.y2 Level,Ratio of Grade V to I,% Muslim Enrolment: U. Prim9a4ry.3 Level,% Muslim En1r8o.l6ment: U. Primary Level,% Muslim Enro2lm8.0ent: U. Primary Level,% Muslim Enrolment: U. Prim87a.2ry Level,Ratio of Grade V to I,Ratio of Grade V to I,% Muslim Enrolment: U. Prim1a0ry0 .L0evel,% Muslim En1r6o.6lment: U. Primary Level,% Muslim Enrolment: U. 7P1r.i7mary Level,Ratio of Grade V to I,% Muslim Enrolment5: 4U.0. Primary Level,% Muslim Enrolm33e.6nt: U. Primary Level,Ratio of Grade V to I,Ratio of Grade V to I,% Muslim0. 0Enrolment: U. Primary Level,% Muslim Enr2o1l.m4 ent: U. Primary Level,Ratio of Grade V to I,% Muslim Enrolm33e.3nt: U. Primary Level,Ratio of Grade V to I,% Muslim Enrolment: U. Pri8m4.a3ry Level,% Muslim Enrolment: U. Prima9r7y. 4Level,% Muslim Enrolment: U. Prima9r6y. 7Level,Ratio of Grade V to I,Ratio of Grade V to I,% Muslim Enrolment: U. P7ri9m.9ary Level,% Muslim Enrolment: U. Prim9a3r.y5 Level
Ratio of Grade V to I,Ratio of Grade V to I,Avg. Repetition Rate: Primary Level,Ratio of Grade V to I,Ratio of Grade V to I,Ratio of Grade V to I,Ratio of Grade V to I,Ratio of Grade V to I,Avg. Repetition Rate: Primary Level,Ratio of Grade V to I,Ratio of Grade V to I,Ratio of Grade V to I,Ratio of Grade V to I,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Ratio of Grade V to I,Ratio of Grade V to I,Ratio of Grade V to I,Avg. Repetition Rate: Primary Level,Ratio of Grade V to I,Ratio of Grade V to I,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Ratio of Grade V to I,Ratio of Grade V to I,Avg. Repetition Rate: Primary Level,Ratio of Grade V to I,Avg. Repetition Rate: Primary Level,Ratio of Grade V to I,Ratio of Grade V to I,Ratio of Grade V to I,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Ratio of Grade V to I,Ratio of Grade V to I
Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Repetition Rate: Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Repetition Rate: Primary Level,Avg. Repetition Rate: Primary Level
Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Drop-out Rate: Primary Le9v7e.4l,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Drop-out Rat3e8:. 4Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Drop-out R3a1te.4: Primary Level,Avg. Drop-out Rate: Primary8 4L.e0vel,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Drop-out Rate: 5P0r.i9mary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Drop-out Rate: Primary8 L5.e5vel,Avg. Drop-out Rate: Primary 9L0e.v7el,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Drop-out Rate: Primary L9e2v.6el,Avg.Repetition Rate: U.Primary Level,Avg. Drop-out Rate: Primary L9e6v.7el,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level,Avg. Drop-out Rate: Prima7r6y. 9Level,Avg. Drop-out Rate: Primary Le9v7e.9l,Avg.Repetition Rate: U.Primary Level,Avg.Repetition Rate: U.Primary Level
Avg. Drop-out Rate: Primary L9e6v.e2l,Avg. Drop-out Rate4: 6P.3rimary Level,Retention Rate: Primary Level,Avg. Drop-out Rate: Prim66a.r9y Level,Avg. Drop-out Rate4: 4P.8rimary Level,Avg. Drop-out Rate: P53ri.m9 ary Level,Avg. Drop-out Rate: Primary L9e6v.e2l,Avg. Drop-out Rate: Primary L9e9v.e8l,Retention Rate: Primary Level,Avg. Drop-out Rate: Primary Level,Avg. Drop-out Ra3te7:. 8Primary Level,Avg. Drop-out Rate4: 4P.7rimary Level,Avg. Drop-out Rate: Primary L9e5v.e7l,Retention Rate: Primary Level,Retention Rate: Primary Level,Avg. Drop-out Rate: Primary 8L9e.1vel,Avg. Drop-out Rate: Primary L9e4v.e9l,Avg. Drop-out Rate: Prima73ry.7 Level,Retention Rate: Primary Level,Avg. Drop-out Rate: Primar8y1 L.1evel,Avg. Drop-out Rate: Prima7r7y. 2Level,Retention Rate: Primary Level,Retention Rate: Primary Level,Avg. Drop-out Rate: Primary L1e0v0e.l0,Avg. Drop-out Rate4:3 P.8rimary Level,Retention Rate: Primary Level,Avg. Drop-out Rate: P53ri.m8 ary Level,Retention Rate: Primary Level,Avg. Drop-out Rate: Primary Le96v.e7l,Avg. Drop-out Rate: Primary Le9v9e.1l,Avg. Drop-out Rate: Primary L9e9v.e9l,Retention Rate: Primary Level,Retention Rate: Primary Level,Avg. Drop-out Rate: Primary L9e1.v7el,Avg. Drop-out Rate: Primary Le9v8e.0l
Retention Rate: Primary Level,Retention Rate: Primary Level,Student-Classroom Ratio,Retention Rate: Primary Level,Retention Rate: Primary Level,Retention Rate: Primary Level,Retention Rate: Primary Level,Retention Rate: Primary Level,Student-Classroom Ratio,Retention Rate: Primary Level,Retention Rate: Primary Level,Retention Rate: Primary Level,Retention Rate: Primary Level,Student-Classroom Ratio,Student-Classroom Ratio,Retention Rate: Primary Level,Retention Rate: Primary Level,Retention Rate: Primary Level,Student-Classroom Ratio,Retention Rate: Primary Level,Retention Rate: Primary Level,Student-Classroom Ratio,Student-Classroom Ratio,Retention Rate: Primary Level,Retention Rate: Primary Level,Student-Classroom Ratio,Retention Rate: Primary Level,Student-Classroom Ratio,Retention Rate: Primary Level,Retention Rate: Primary Level,Retention Rate: Primary Level,Student-Classroom Ratio,Student-Classroom Ratio,Retention Rate: Primary Level,Retention Rate: Primary Level
Student-Classroom Ratio,Student-Classroom Ratio,% Schools with Drinking Water,Student-Classroom Ratio,Student-Classroom Ratio,Student-Classroom Ratio,Student-Classroom Ratio,Student-Classroom Ratio,% Schools with Drinking Water,Student-Classroom Ratio,Student-Classroom Ratio,Student-Classroom Ratio,Student-Classroom Ratio,% Schools with Drinking Water,% Schools with Drinking Water,Student-Classroom Ratio,Student-Classroom Ratio,Student-Classroom Ratio,% Schools with Drinking Water,Student-Classroom Ratio,Student-Classroom Ratio,% Schools with Drinking Water,% Schools with Drinking Water,Student-Classroom Ratio,Student-Classroom Ratio,% Schools with Drinking Water,Student-Classroom Ratio,% Schools with Drinking Water,Student-Classroom Ratio,Student-Classroom Ratio,Student-Classroom Ratio,% Schools with Drinking Water,% Schools with Drinking Water,Student-Classroom Ratio,Student-Classroom Ratio
% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Common Toilet,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Common Toilet,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Common Toilet,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Common Toilet,% Schools with Drinking Water,% Schools with Common Toilet,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Drinking Water,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Drinking Water,% Schools with Drinking Water
% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Boys' Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Boys' Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Boys' Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Boys' Toilet,% Schools with Common Toilet,% Schools with Boys' Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Common Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Common Toilet,% Schools with Common Toilet
% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Girls' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Girls' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Girls' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Girls' Toilet,% Schools with Boys' Toilet,% Schools with Girls' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boys' Toilet,% Schools with Boys' Toilet
% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boundarywall,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boundarywall,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boundarywall,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boundarywall,% Schools with Girls' Toilet,% Schools with Boundarywall,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Girls' Toilet,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Girls' Toilet,% Schools with Girls' Toilet
% Schools with Boundarywall,% Schools with Boundarywall,% School with Playground Facility,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Boundarywall,% School with Playground Facility,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Boundarywall,% School with Playground Facility,% School with Playground Facility,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Boundarywall,% School with Playground Facility,% Schools with Boundarywall,% Schools with Boundarywall,% School with Playground Facility,% School with Playground Facility,% Schools with Boundarywall,% Schools with Boundarywall,% School with Playground Facility,% Schools with Boundarywall,% School with Playground Facility,% Schools with Boundarywall,% Schools with Boundarywall,% Schools with Boundarywall,% School with Playground Facility,% School with Playground Facility,% Schools with Boundarywall,% Schools with Boundarywall
% School with Playground Facility,% School with Playground Facility,% Schools with Ramp,% School with Playground Facility,% School with Playground Facility,% School with Playground Facility,% School with Playground Facility,% School with Playground Facility,% Schools with Ramp,% School with Playground Facility,% School with Playground Facility,% School with Playground Facility,% School with Playground Facility,% Schools with Ramp,% Schools with Ramp,% School with Playground Facility,% School with Playground Facility,% School with Playground Facility,% Schools with Ramp,% School with Playground Facility,% School with Playground Facility,% Schools with Ramp,% Schools with Ramp,% School with Playground Facility,% School with Playground Facility,% Schools with Ramp,% School with Playground Facility,% Schools with Ramp,% School with Playground Facility,% School with Playground Facility,% School with Playground Facility,% Schools with Ramp,% Schools with Ramp,% School with Playground Facility,% School with Playground Facility
% Schools with Ramp,% Schools with Ramp,% Schools havining Electricity,% Schools with Ramp,% Schools with Ramp,% Schools with Ramp,% Schools with Ramp,% Schools with Ramp,% Schools havining Electricity,% Schools with Ramp,% Schools with Ramp,% Schools with Ramp,% Schools with Ramp,% Schools havining Electricity,% Schools havining Electricity,% Schools with Ramp,% Schools with Ramp,% Schools with Ramp,% Schools havining Electricity,% Schools with Ramp,% Schools with Ramp,% Schools havining Electricity,% Schools havining Electricity,% Schools with Ramp,% Schools with Ramp,% Schools havining Electricity,% Schools with Ramp,% Schools havining Electricity,% Schools with Ramp,% Schools with Ramp,% Schools with Ramp,% Schools havining Electricity,% Schools havining Electricity,% Schools with Ramp,% Schools with Ramp
% Schools havining Electricity,% Schools havining Electricity,% Schools with Computer,% Schools havining Electricity,% Schools havining Electricity,% Schools havining Electricity,% Schools havining Electricity,% Schools havining Electricity,% Schools with Computer,% Schools havining Electricity,% Schools havining Electricity,% Schools havining Electricity,% Schools havining Electricity,% Schools with Computer,% Schools with Computer,% Schools havining Electricity,% Schools havining Electricity,% Schools havining Electricity,% Schools with Computer,% Schools havining Electricity,% Schools havining Electricity,% Schools with Computer,% Schools with Computer,% Schools havining Electricity,% Schools havining Electricity,% Schools with Computer,% Schools havining Electricity,% Schools with Computer,% Schools havining Electricity,% Schools havining Electricity,% Schools havining Electricity,% Schools with Computer,% Schools with Computer,% Schools havining Electricity,% Schools havining Electricity
% Schools with Computer,% Schools with Computer,Number of Districts Covered,% Schools with Computer,% Schools with Computer,% Schools with Computer,% Schools with Computer,% Schools with Computer,% Schools Providing Mid-day Meal*,% Schools with Computer,% Schools with Computer,% Schools with Computer,% Schools with Computer,% Schools Providing Mid-day Meal*,Number of District3s. 5Covered,% Schools with Computer,% Schools with Computer,% Schools with Computer,Number of Districts 4C.0overed,% Schools with Computer,% Schools with Computer,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,% Schools with Computer,% Schools with Computer,% Schools Providing Mid-day Meal*,% Schools with Computer,% Schools Providing Mid-day Meal*,% Schools with Computer,% Schools with Computer,% Schools with Computer,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,% Schools with Computer,% Schools with Computer
% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,Total Schools,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,Number of Distr2ic.6ts Covered,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,Number of Districts 5C.5overed,Total Schools,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,Total Schools,% Schools Providing Mid-day Meal*,% Schools Providing Mid-day Meal*,Number of Distric2t.9s Covered,Number of Distr4ic.0ts Covered,Number of Districts Covered,% Schools Providing Mid-day Meal*,Number of Distri4c.t2s Covered,% Schools Providing Mid-day Meal*,Number of Distric4t.s5 Covered,% Schools Providing Mid-day Meal*,Number of Districts Cove16re.6d,Number of Districts 8C.1overed,Number of Distric3t.s1 Covered,Number of Distric2t.9s Covered,% Schools Providing Mid-day Meal*,Number of Districts 4C.7overed
Number of Districts C4o.4vered,Number of Dist3r.i4cts Covered,Total Government Schools,Number of Distric2t.9s Covered,Number of Districts C5o.3vered,Number of Distri3c.t3s Covered,Number of Districts C4o.4vered,Number of Districts C5o.3vered,Total Schools,Number of Districts Covered,Number of Distric3ts.2 Covered,Number of Districts C4o.5vered,Number of Distr3ic.2ts Covered,Total Schools,Total Government Schools,Number of Distr5ic.1ts Covered,Number of Districts 4C.0overed,Number of Distric3t.s7 Covered,Total Government Schools,Number of Districts3 C.8overed,Number of Districts 4C.0overed,Total Schools,Total Schools,Total Schools,Number of Districts3 .C6overed,Total Schools,Number of Districts Covered 7.3,Total Schools,Number of Di2st.8ricts Covered,Total Schools,Total Schools,Total Schools,Total Schools,Number of Districts 4C.0overed,Total Schools
Total Schools,Total Schools,Total Private Schools,Total Schools,Total Schools,Total Schools,Total Schools,Total Schools,Total Government Schools,Total Schools,Total Schools,Total Schools,Total Schools10.2,Total Government Schools,Total Private Schools,Total Schools,Total Schools,Total Schools,Total Private Schools,Total Schools8.0,Total Schools,Total Government Schools,Total Government Schools,Total Government Schools,Total Schools,Total Government Schools,Total Schools,Total Government Schools,Total Schools,Total Government Schools,Total Government Schools,Total Government Schools,Total Government Schools,Total Schools,Total Government Schools
Total Government Schools,Total Government Schools,Ratio of Primary to U.PrimarySch./Sec.,Total Government Schools,Total Government Schools,Total Government Schools,Total Government Schools,Total Government Schools,Total Private Schools,Total Government Schools,Total Government Schools,Total Government Schools,Total Government Schools,Total Private Schools,Ratio of Primary to U4.P.5rimarySch./Sec.,Total Government Schools,Total Government Schools,Total Government Schools,Ratio of Primary to U.P5r.i0marySch./Sec.,Total Government Schools,Total Government Schools,Total Private Schools,Total Private Schools,Total Private Schools,Total Government Schools,Total Private Schools,Total Government Schools,Total Private Schools,Total Governmen5t .S2chools,Total Private Schools,Total Private Schools,Total Private Schools,Total Private Schools,Total Government Schools,Total Private Schools
Total Private Schools,Total Private Schools,Primary Sch./Sec.per 1000 Child Popln.,Total Private Schools,Total Private Schools,Total Private Schools,Total Private Schools,Total Private Schools,Ratio of Primary to3 .U5.PrimarySch./Sec.,Total Private Schools,Total Private Schools,Total Private Schools,Total Private Schools,Ratio of Primary to U.PrimarySch1./2S.2ec.,Primary Sch./Sec.per 1000 Child Popln.,Total Private Schools,Total Private Schools,Total Private Schools,Primary Sch./Sec.per 1000 Child Popln.,Total Private Schools,Total Private Schools,Ratio of Primary to U.Primar6y.8Sch./Sec.,Ratio of Primary to U.PrimarySch1.2/S.7ec.,Ratio of Primary to U.PrimaryS1c5h.3./Sec.,Total Private Schools,Ratio of Primary to U.PrimarySch./S14e.c0.,Total Private Schools,Ratio of Primary to U.PrimaryS1c1h.6./Sec.,Total Private 2S.c8hools,Ratio of Primary to U.PrimarySch2./6S.1ec.,Ratio of Primary to U.PrimaryS14c.h9./Sec.,Ratio of Primary to U.PrimaryS7.c5h./Sec.,Ratio of Primary to U.PrimarySch./9S.e2c.,Total Private Schools,Ratio of Primary to U.PrimarySch1.0/S.3ec.
